cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Lula e Flávio Bolsonaro,AtlasIntel,2026-05-13,2026-05-18,,1.0,48.9,41.8,9.3,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-05-13,2026-05-18,,1.0,47.8,,23.8,,28.4,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-05-13,2026-05-18,,1.0,47.5,,14.0,,,38.5,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-05-13,2026-05-18,,1.0,47.8,,14.6,,,,37.6,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-05-12,2026-05-14,,2.0,45.0,45.0,10.0,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-05-12,2026-05-14,,2.0,46.0,,15.0,,,39.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-05-12,2026-05-14,,2.0,46.0,,14.0,,,,40.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-05-04,2026-05-08,,2.2,44.4,46.9,8.6,,,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-05-04,2026-05-08,,2.2,45.1,,17.9,,,36.9,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-05-04,2026-05-08,,2.2,46.0,,15.3,,,,37.8,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Futura,2026-05-04,2026-05-08,,2.2,41.4,,20.8,,,,,,,,,,37.8,,,,,,,,,,,
Hipóteses com Haddad,Futura,2026-05-04,2026-05-08,,2.2,,47.8,16.0,,,,,,,,,,,,,,,,,,,,,36.2
Lula e Flávio Bolsonaro,Real Time Big Data,2026-05-02,2026-05-04,,2.0,43.0,44.0,13.0,,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-05-02,2026-05-04,,2.0,48.0,,28.0,,24.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-05-02,2026-05-04,,2.0,43.0,,15.0,,,42.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-05-02,2026-05-04,,2.0,43.0,,18.0,,,,39.0,,,,,,,,,,,,,,,,,
Hipóteses com Lula,Real Time Big Data,2026-05-02,2026-05-04,,2.0,43.0,,14.0,,,,,,,,,,43.0,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-04-22,2026-04-27,,1.0,47.5,47.8,4.7,,,,,,,,,,,,,,,,,,,,,
